id,name,Tipo de Comida,x,y,district,star,min_price,max_price,status
73,Hosso Casual Nikkei,Comida Japonesa,-12.150056,-77.021904,BARRANCO,40,24,160,Clausurado
74,Sama Healthy Express,Cafeteria,-12.122173,-77.02663,MIRAFLORES,45,5,92,Funcionando
75,Matsuei,Comida Japonesa,-12.09072,-76.95147,LA MOLINA,45,6,160,Funcionando
76,La Bodega de La Trattoria,Comida Italiana,-12.11189,-77.03316,MIRAFLORES,40,24,86,Funcionando
77,Pardos Chicken,Polleria,-12.06222,-77.03474,LIMA,45,28,94,Funcionando
78,La Onceava,Mariscos,-12.143493,-77.01415,BARRANCO,40,7,133,Funcionando
79,Bodega La Trattoria,Comida Italiana,-12.132862,-77.02784,MIRAFLORES,40,14,103,Funcionando
80,El Muelle de BARRANCO,Mariscos,-12.14702,-77.022705,BARRANCO,45,15,149,Funcionando
81,Papacho's,Bar,-12.090533,-77.052216,JESUS MARIA,40,29,122,Funcionando
82,RESTAURANT KUSINA PACHACAMAC,Comida Espanola,-12.243585,-76.879456,LURIN,40,25,164,Funcionando
83,SiBaris Restaurante,Comida Peruana,-12.150539,-77.02088,BARRANCO,40,10,164,Funcionando
84,Puerto Med Restaurante,Mariscos,-12.130539,-77.01926,MIRAFLORES,45,11,104,Funcionando
85,Tanta,Mariscos,-12.090713,-77.052216,JESUS MARIA,40,16,88,Funcionando
86,El Chinito Plaza Mayor,Chicharroneria,-12.046519,-77.03041,LIMA,45,14,127,Funcionando
87,Zimmermann,Bar,-12.132269,-77.0267,MIRAFLORES,40,19,158,Funcionando
88,La Estancia Cafe Restaurante,Cafeteria,-12.123133,-77.02804,MIRAFLORES,45,22,86,Clausurado
89,Canta Ranita,Mariscos,-12.146864,-77.02111,BARRANCO,45,10,129,Funcionando
90,La Verdad de la Milanesa,Comida Peruana,-12.150871,-77.02028,BARRANCO,40,12,97,Funcionando
91,El Jardin de Jazmin,Comida Peruana,-12.126167,-77.02694,MIRAFLORES,40,18,137,Funcionando
92,La Vaca Loca,Parrilla,-12.131796,-77.030685,MIRAFLORES,40,6,117,Funcionando
93,La Forchetta,Comida Italiana,-12.130489,-77.01856,MIRAFLORES,40,21,136,Funcionando
94,Punto Italiano,Comida Italiana,-12.07403,-76.93653,LA MOLINA,40,5,117,Funcionando
95,Las Conchas de sus Mares,Mariscos,-12.14542,-76.95563,VILLA MARIA DEL TRIUNFO,40,13,157,Funcionando
96,RASSON,Parrilla,-12.111623,-77.04868,MIRAFLORES,40,9,149,Clausurado
97,JW Sushi Ceviche Lounge,Comida Japonesa,-12.131933,-77.02955,MIRAFLORES,45,3,95,Funcionando
98,Kasamama,Mariscos,-12.0798,-77.03434,LINCE,40,21,164,Funcionando
99,Seitan Urban Bistro,Comida Peruana,-12.122963,-77.02598,MIRAFLORES,45,10,105,Funcionando
100,La Cucharita,Bar,-12.110197,-77.04856,MIRAFLORES,40,14,100,Funcionando
101,Sabor y Vida,Comida Espanola,-12.119782,-77.03382,MIRAFLORES,45,11,155,Funcionando
102,La Gorda,Comida Espanola,-12.11715,-77.03345,MIRAFLORES,45,24,127,Funcionando
103,Zen,Comida Japonesa,-12.091489,-77.03825,SAN ISIDRO,45,22,121,Funcionando
104,MUYA,Mariscos,-12.149449,-77.02196,BARRANCO,45,28,95,Funcionando
105,Edo Sushi Bar,Comida Japonesa,-12.085113,-76.974785,SANTIAGO DE SURCO,45,27,162,Funcionando
106,Restaurante Punta Sal,Mariscos,-12.124933,-77.03714,MIRAFLORES,40,20,146,Funcionando
107,Kio's,Comida Peruana,-12.06932,-77.07796,SAN MIGUEL,40,28,115,Funcionando
108,Don Belisario pollos a la brasa,Polleria,-12.124666,-77.028,MIRAFLORES,35,24,133,Funcionando
109,La Postreria Cafe,Cafeteria,-12.117053,-77.039055,MIRAFLORES,45,12,135,Funcionando
110,Altamar,Mariscos,-12.11896,-77.035,MIRAFLORES,45,24,104,Funcionando
111,Frida Cocina De Mexico,Comida Mexicana,-12.113401,-77.04709,MIRAFLORES,40,14,138,Funcionando
112,Il Piccolo Pomodoro Restaurante,Comida Italiana,-12.124565,-76.983665,SANTIAGO DE SURCO,45,22,152,Clausurado
113,La Red - San Miguel,Mariscos,-12.078825,-77.08774,SAN MIGUEL,40,20,106,Funcionando
114,Sandwiches Monstruos,Fast-Food,-12.05226,-77.03363,LIMA,45,7,130,Funcionando
115,PiscoBar,Bar,-12.116869,-77.0283,MIRAFLORES,45,12,136,Funcionando
116,Cumbia y Cafe,Comida Colombiana,-12.07153,-77.039,JESUS MARIA,40,22,101,Funcionando
117,La Gastronoma,Comida Vegetariana,-12.12216,-77.03303,MIRAFLORES,45,21,113,Funcionando
118,Nagoya,Comida Japonesa,-12.0824,-76.96805,SANTIAGO DE SURCO,45,22,143,Funcionando
119,Trattoria Mamma Lola,Comida Italiana,-12.122105,-77.02984,MIRAFLORES,35,25,82,Funcionando
120,Restaurante arabe tierra santa,Comida Vegetariana,-12.123082,-77.02825,MIRAFLORES,40,20,120,Funcionando
121,Cebicheria Beto,Mariscos,-12.172363,-77.025246,CHORRILLOS,45,24,120,Funcionando
122,Costa Verde,Mariscos,-12.139931,-77.02869,BARRANCO,35,27,87,Funcionando
123,TROPICANA,Comida Espanola,-12.123285,-77.026886,MIRAFLORES,40,8,162,Funcionando
124,Cafeteria del Gran Hotel Bolivar,Bar,-12.05109,-77.03554,LIMA,40,22,147,Funcionando
125,DaDA RestoBar,Bar,-12.146804,-77.02145,BARRANCO,45,7,82,Funcionando
126,Domus Restaurant,Comida Peruana,-12.047993,-77.03249,LIMA,45,22,97,Funcionando
127,Restaurant Oriental Lung Fung,Comida China,-12.0963,-77.02048,SAN ISIDRO,45,6,114,Funcionando
128,1087 Restaurante,Comida Espanola,-12.106997,-77.037,SAN ISIDRO,45,18,148,Funcionando
129,Chepita Royal Restaurant,Comida Peruana,-12.018076,-77.074326,SAN MARTIN DE PORRES,45,19,143,Funcionando
130,Restaurante Las Palmeras,Comida Peruana,-12.057192,-77.03644,LIMA,40,6,135,Funcionando
131,Pico y Tapa,Comida Espanola,-12.121476,-77.02818,MIRAFLORES,45,5,156,Funcionando
132,Granja Azul,Parrilla,-12.033139,-76.88575,ATE,40,18,131,Funcionando
133,Spizza,Pizzeria,-12.091113,-77.0367,SAN ISIDRO,40,26,92,Funcionando
134,Ca̱as,Bar,-12.118814,-77.03354,MIRAFLORES,45,23,108,Funcionando
135,Senor Limon,Mariscos,-12.075693,-76.9641,LA MOLINA,40,11,135,Funcionando
136,Quinoa Cafe,Comida Vegetariana,-12.106044,-77.038925,SAN ISIDRO,40,22,120,Funcionando
137,OLE Bar RESTAURANTE,Bar,-12.096907,-77.03542,SAN ISIDRO,45,21,125,Funcionando
138,El Rocoto,Comida Peruana,-12.11212,-77.04736,MIRAFLORES,40,10,91,Funcionando
139,Cremoladas Curich,Comida Peruana,-12.125544,-77.03583,MIRAFLORES,45,14,89,Funcionando
140,Fiamma,Churrasqueria,-12.100767,-76.971664,SANTIAGO DE SURCO,40,23,84,Funcionando
141,Restaurante El Grifo,Comida Peruana,-12.085576,-76.97673,SANTIAGO DE SURCO,35,6,169,Funcionando
142,El Jefe Smoked BBQ,Parrilla,-12.126746,-77.02987,MIRAFLORES,45,30,137,Funcionando
143,Miso,Comida Peruana,-12.125464,-77.03298,MIRAFLORES,45,3,110,Funcionando
144,Pikeos,Comida Peruana,-12.150788,-77.02031,BARRANCO,40,6,94,Funcionando
145,Restaurante Nakachi,Comida Japonesa,-12.088005,-77.055565,JESUS MARIA,45,16,95,Funcionando
146,Paseo Colon Restaurante,Comida Espanola,-12.085853,-76.976654,SANTIAGO DE SURCO,40,8,113,Funcionando
147,Vista Al Mar,Mariscos,-12.131722,-77.03076,MIRAFLORES,40,23,134,Funcionando
148,Magma Sushi Lounge,Comida Japonesa,-12.126078,-77.029366,MIRAFLORES,40,21,99,Funcionando
149,La Bonbonniere - Jockey Plaza,Comida Peruana,-12.085683,-76.977036,SANTIAGO DE SURCO,40,8,98,Funcionando
150,Trattoria dei Prati,Comida Italiana,-12.12125,-77.02734,MIRAFLORES,40,20,147,Funcionando
151,Bodega Queirolo,Comida Peruana,-12.051374,-77.03662,LIMA,45,8,116,Funcionando
152,Pun Kay,Comida China,-12.12096,-77.03027,MIRAFLORES,45,22,104,Funcionando
153,Dhaasu - Cocina Delhi,Comida India,-12.13986,-77.01785,BARRANCO,50,14,139,Funcionando
154,Delizia Cafe,Cafeteria,-12.120387,-77.03524,MIRAFLORES,50,28,147,Funcionando
155,Trattoria Elia,Comida Italiana,-12.090658,-77.06468,MAGDALENA DEL MAR,40,23,93,Funcionando
156,Mandarin Restaurante Buffet,Comida China,-12.088733,-77.006775,SAN BORJA,40,8,112,Funcionando
157,Club Lambayeque Restaurant,Mariscos,-11.97066,-76.7498,CHACLACAYO,40,14,169,Funcionando
158,La Esquina Bar de Vinos,Comida Italiana,-12.120022,-77.039185,MIRAFLORES,40,12,163,Funcionando
159,Norky's,Polleria,-12.31075,-76.83704,PUNTA HERMOSA,40,20,144,Funcionando
160,Bar Piselli 1915,Bar,-12.151069,-77.02191,BARRANCO,45,4,137,Funcionando
161,Restaurant Las Canastas,Comida Peruana,-12.114008,-77.03472,MIRAFLORES,40,21,122,Funcionando
162,Local,Comida Peruana,-12.145859,-77.02212,BARRANCO,45,9,88,Funcionando
163,Pardo's Chicken,Polleria,-12.125338,-77.02552,MIRAFLORES,45,19,141,Funcionando
164,Artesano Bar,Bar,-12.121351,-77.02861,MIRAFLORES,50,20,97,Funcionando
165,Carbone,Comida Italiana,-12.046701,-77.0348,LIMA,40,25,84,Funcionando
166,OZU - Nikkei & Thai Cuisine,Comida Japonesa,-12.12821,-76.98678,SANTIAGO DE SURCO,45,9,94,Funcionando
167,Izakaya Sushi Bar,Comida Japonesa,-12.094797,-77.00267,SAN BORJA,45,11,139,Funcionando
168,Luhho Cafe & Cave,Bar,-12.111014,-77.03743,MIRAFLORES,45,4,168,Funcionando
169,Juicy Lucy,Fast-Food,-12.129767,-77.02437,MIRAFLORES,40,11,162,Funcionando
170,Chifa Kam Men,Comida China,-12.127137,-77.017914,MIRAFLORES,40,30,118,Funcionando
171,Villa Chicken & Grill Centro Historico de Lima,Polleria,-12.046944,-77.03281,LIMA,40,25,97,Funcionando
172,Candela Cocina Artesanal,Comida Peruana,-12.116918,-77.045,MIRAFLORES,45,10,167,Funcionando
173,Sutorito Maketto,Comida China,-12.11306,-77.04587,MIRAFLORES,45,4,151,Funcionando
174,Norky's,Polleria,-12.04634,-77.03168,LIMA,40,10,126,Funcionando
175,Edo Sushi Bar,Comida Japonesa,-12.126199,-76.98848,SANTIAGO DE SURCO,45,8,162,Funcionando
176,Parador De Guadalcanal,Comida Peruana,-12.165389,-77.0325,CHORRILLOS,45,23,121,Funcionando
177,Los Incas,Mariscos,-12.121632,-77.03159,MIRAFLORES,40,9,99,Funcionando
178,La Bodega de la Trattoria,Comida Italiana,-12.08406,-76.9763,SANTIAGO DE SURCO,35,12,138,Funcionando
179,Cafe 21,Cafeteria,-12.118957,-77.033516,MIRAFLORES,40,27,143,Funcionando
180,Chifa Internacional,Comida China,-12.120323,-77.01821,SURQUILLO,40,29,136,Funcionando
181,Brewpub Wicks,Bar,-12.151158,-77.02206,BARRANCO,40,30,158,Funcionando
182,Mara Biomarket & Cafe,Cafeteria,-12.12293,-77.02668,MIRAFLORES,45,18,154,Funcionando
183,La Parriteca,Churrasqueria,-12.131389,-77.01805,BARRANCO,40,12,103,Funcionando
184,Haita Cantonese Restaurant,Comida China,-12.09455,-77.0025,SAN BORJA,45,16,124,Funcionando
185,Rustica - BARRANCO,Comida Peruana,-12.150168,-77.021385,BARRANCO,40,15,103,Funcionando
186,Paseo Colon,Comida Peruana,-12.106814,-77.03849,SAN ISIDRO,35,23,92,Funcionando
187,Comma,Cafeteria,-12.095856,-77.037865,SAN ISIDRO,45,3,163,Funcionando
188,El Boulevarcito - CERRADO,Bar,-12.050867,-77.03499,LIMA,40,26,167,Funcionando
189,La Moma Restaurante y Cafe,Comida Espanola,-12.12351,-77.028496,MIRAFLORES,45,15,90,Funcionando
190,Rodizio - Churrasqueria,Churrasqueria,-12.055404,-76.96459,ATE,40,25,139,Funcionando
191,O-Mei,Comida China,-12.07098,-76.9551,LA MOLINA,40,9,145,Funcionando
192,Curaka Bar,Bar,-12.120702,-77.03252,MIRAFLORES,45,16,86,Funcionando
193,Maitea,Comida Espanola,-12.123196,-77.02693,MIRAFLORES,45,19,85,Funcionando
194,Restaurant Manolo,Postres,-12.123012,-77.02912,MIRAFLORES,45,8,119,Funcionando
195,Capitan Melendez,Bar,-12.121531,-77.0277,MIRAFLORES,45,7,137,Funcionando
196,ECO Tienda Natural - Organic Natural Market,Comida Vegetariana,-12.12686,-77.03088,MIRAFLORES,45,16,135,Funcionando
197,Fuji Restaurant,Comida Japonesa,-12.107016,-77.02732,MIRAFLORES,40,27,157,Funcionando
198,305 SUR,Bar,-12.147261,-77.02027,BARRANCO,45,17,118,Funcionando
199,Restaurant Moche,Comida Peruana,-12.093392,-76.9952,SAN BORJA,40,24,126,Funcionando
200,OCEANIKA,Comida Japonesa,-12.104886,-76.9906,SAN BORJA,35,16,106,Funcionando
201,Cebicheria Capirena,Mariscos,-12.165571,-77.03461,CHORRILLOS,40,8,137,Funcionando
202,Restaurante Francesco,Mariscos,-12.118554,-76.989136,SANTIAGO DE SURCO,40,27,161,Funcionando
203,Macarena - Delicia Artesanal,Comida Italiana,-12.124258,-77.02686,MIRAFLORES,40,30,87,Funcionando
204,Cevicheria Richards,Mariscos,-12.16126,-76.96812,SAN JUAN DE MIRAFLORES,45,21,100,Funcionando
205,Santos Comedor & Cantina,Bar,-12.14921,-77.02265,BARRANCO,40,19,110,Funcionando
206,Tanuki Restaurante Japones,Comida Japonesa,-12.117911,-77.03052,MIRAFLORES,40,15,141,Funcionando
207,El Pisquerito,Bar,-12.079285,-77.06351,PUEBLO LIBRE,45,16,88,Funcionando
208,Bocatta,Pizzeria,-12.110876,-76.990326,SAN BORJA,40,10,143,Funcionando
209,Kiriko,Parrilla,-12.122614,-77.03046,MIRAFLORES,40,18,114,Funcionando
210,Tamashii,Comida Japonesa,-12.110578,-76.98678,SAN BORJA,45,8,114,Funcionando
211,Don Mamino,Postres,-12.13036,-77.01949,MIRAFLORES,40,3,148,Funcionando
212,El Barquero,Mariscos,-12.09027,-77.07115,MAGDALENA DEL MAR,45,12,82,Funcionando
213,L'impasto - Comida Italiana Artesanal,Comida Italiana,-12.12822,-77.02413,MIRAFLORES,45,13,101,Funcionando
214,Sandwich Palermo Cafe,Comida Peruana,-12.07631,-77.02295,LA VICTORIA,45,21,154,Funcionando
215,The Observatory Restaurant,Comida Vegetariana,-12.135293,-77.02732,MIRAFLORES,45,19,111,Funcionando
216,Sr. Saltado,Fast-Food,-12.122378,-77.027306,MIRAFLORES,40,9,118,Funcionando
217,Sanguchisimo,Fast-Food,-12.121086,-77.0291,MIRAFLORES,40,6,91,Funcionando
218,Restaurante Amore,Comida Peruana,-12.072899,-76.94423,LA MOLINA,40,20,147,Funcionando
219,Barcelona 360,Mariscos,-12.126528,-77.028,MIRAFLORES,40,20,133,Funcionando
220,Hefferco,Comida Mexicana,-12.137286,-77.02249,BARRANCO,45,30,97,Funcionando
221,Chili's,Comida Mexicana,-12.109958,-77.037285,MIRAFLORES,35,19,114,Funcionando
222,Huancahuasi La Molina,Comida Peruana,-12.069258,-76.94283,LA MOLINA,40,11,86,Funcionando
223,El Fogon Del Asador,Churrasqueria,-12.093921,-77.069145,MAGDALENA DEL MAR,40,26,144,Funcionando
224,Restaurante 1875,Mariscos,-12.16639,-77.03151,CHORRILLOS,40,10,155,Funcionando
225,Rouge Bar Miraflores,Bar,-12.119758,-77.02848,MIRAFLORES,40,29,120,Funcionando
226,Taberna La Botica,Comida Peruana,-12.10089,-77.03099,SAN ISIDRO,40,22,115,Funcionando
227,Patty Pasteleria Artesanal,Postres,-12.11699,-77.03172,MIRAFLORES,45,28,93,Funcionando
228,LongHorn,Churrasqueria,-12.008045,-77.09039,SAN MARTIN DE PORRES,35,20,166,Funcionando
229,San Say Kay,Comida China,-11.95737,-77.05882,COMAS,40,29,151,Funcionando
230,El Salar,Comida Peruana,-12.13285,-77.02939,MIRAFLORES,45,13,112,Funcionando
231,Papas y Camotes,Comida Espanola,-12.089565,-77.04695,LINCE,45,30,150,Funcionando
232,Ka̱ete,Comida Espanola,-12.117167,-77.02388,SURQUILLO,45,16,142,Funcionando
233,Restaurant Olamo Terraza,Mariscos,-12.046432,-77.03073,LIMA,40,3,109,Funcionando
234,La Cumbre,Mariscos,-12.12587,-77.02692,MIRAFLORES,40,3,122,Funcionando
235,Chifa Mi Amigo,Comida China,-12.03326,-76.94796,SANTA ANITA,40,25,151,Funcionando
236,Restaurant Maury,Comida Peruana,-12.047564,-77.03095,LIMA,40,13,143,Funcionando
237,Barra Khuda,Mariscos,-12.084144,-77.02055,LA VICTORIA,45,9,132,Funcionando
238,Chifa Yi Yi,Comida China,-12.12813,-76.99419,SANTIAGO DE SURCO,40,7,85,Funcionando
239,La Mora,Postres,-12.109722,-77.0375,SAN ISIDRO,40,10,164,Funcionando
240,Pueblo Viejo Restaurante,Comida Peruana,-12.120872,-77.02556,MIRAFLORES,45,24,124,Funcionando
241,Napoli Pizza Y Pastas,Comida Italiana,-12.103078,-77.02138,SURQUILLO,45,24,84,Funcionando
242,Pani Lima,Postres,-12.129405,-77.02221,MIRAFLORES,40,14,145,Funcionando
243,El Chinito Miraflores,Comida Peruana,-12.122382,-77.02589,MIRAFLORES,40,18,82,Funcionando
244,Lanciotti,Comida Italiana,-12.09741,-77.04564,SAN ISIDRO,45,28,110,Funcionando
245,Posada del Angel I,Comida Italiana,-12.150934,-77.022224,BARRANCO,40,8,153,Funcionando
246,Bubble Tea,Cafeteria,-12.122906,-77.03054,MIRAFLORES,40,6,129,Funcionando
247,Charlotte,Comida Peruana,-12.109254,-77.0393,SAN ISIDRO,35,27,123,Funcionando
248,Casa Gourmet,Postres,-12.106039,-77.04031,SAN ISIDRO,45,22,102,Funcionando
249,Tornamessa  - Fusion Italoperuana,Comida Italiana,-12.145304,-77.021805,BARRANCO,45,4,124,Funcionando
250,Cevicheria Lobo de Mar Otani,Mariscos,-12.119449,-76.98839,SANTIAGO DE SURCO,40,17,132,Funcionando
251,cafe et chocolat,Cafeteria,-12.122785,-77.026024,MIRAFLORES,45,20,101,Funcionando
252,Berypez,Comida Peruana,-12.069856,-77.03926,JESUS MARIA,45,5,122,Funcionando
253,Se̱or Pesca'o,Mariscos,-11.916119,-77.028404,COMAS,40,22,116,Funcionando
254,Cafe La favorita,Cafeteria,-12.122588,-77.02935,MIRAFLORES,45,18,126,Funcionando
255,Cremoladas Angelica,Comida Peruana,-12.09159,-76.95137,LA MOLINA,45,12,167,Funcionando
256,Churrisimo,Cafeteria,-11.892436,-77.02361,CARABAYLLO,45,10,106,Funcionando
257,La Gran Fruta,Comida Vegetariana,-12.094674,-77.02511,SAN ISIDRO,35,26,100,Funcionando
258,Pizza Palace,Pizzeria,-12.04577,-77.02975,LIMA,40,23,100,Funcionando
259,El Cortijo,Parrilla,-12.155105,-77.02257,BARRANCO,45,28,132,Funcionando
260,Al Sazon De Walter,Comida Peruana,-12.047738,-77.03416,LIMA,45,29,122,Funcionando
261,Bunna Waffles & coffee,Cafeteria,-12.125998,-77.02974,MIRAFLORES,45,13,148,Funcionando
262,La Casa de los Anticuchos,Comida Peruana,-12.117058,-77.041794,MIRAFLORES,45,22,96,Funcionando
263,Makoto Sushi Bar Jockey Plaza,Comida Japonesa,-12.085222,-76.975975,SANTIAGO DE SURCO,40,7,145,Funcionando
264,De Cesar,Comida Peruana,-12.04685,-77.01715,LIMA,45,24,89,Funcionando
265,Murano - Sol de Oro Hotel & Suites,Comida Peruana,-12.125136,-77.031265,MIRAFLORES,40,21,100,Funcionando
266,San Telmo,Parrilla,-12.165514,-77.03244,CHORRILLOS,40,9,118,Funcionando
267,Alembic Pisco Bar & Lounge,Bar,-12.1693,-76.96142,SAN JUAN DE MIRAFLORES,45,22,131,Funcionando
268,Oceano Azul Sea Food Speciality,Mariscos,-12.20952,-76.87856,PACHACAMAC,45,29,127,Funcionando
